Date,County,O3_Mean,CO_Mean,SO2_Mean,NO2_Mean
2000-01-01,Maricopa,0.019765,0.8789469999999999,3.0,19.041667
2000-01-01,Maricopa,0.021059,0.621053,1.75,47.208333
2000-01-01,Pima,0.020824,0.321053,1.833333,15.208332999999998
2000-01-01,Contra Costa,0.019412,0.572222,0.636364,14.782609
2000-01-01,Contra Costa,0.019059,0.505556,1.227273,9.826087
2000-01-01,Contra Costa,0.022882,0.433333,1.521739,13.695652
2000-01-01,Contra Costa,0.015824,0.988889,2.272727,16.217391
2000-01-01,Imperial,0.035647,0.494444,0.391304,9.304348
2000-01-01,Los Angeles,0.016529,1.3,0.0,25.869565
2000-01-01,Los Angeles,0.009941,0.8111109999999999,0.7391300000000001,33.391304
2000-01-01,Los Angeles,0.021471,1.522222,0.956522,25.347826
2000-01-01,Orange,0.020294,0.988889,2.347826,20.565217
2000-01-01,Riverside,0.016294,0.255556,2.26087,11.869565
2000-01-01,Sacramento,0.011176,0.633333,4.363636,16.913043
2000-01-01,San Diego,0.036353,0.611111,2.086957,10.913043
2000-01-01,San Diego,0.034706,0.905556,2.0,16.043478
2000-01-01,San Diego,0.027647,0.744444,2.521739,14.913043
2000-01-01,San Francisco,0.023588,0.455556,2.363636,17.652174
2000-01-01,Santa Barbara,0.038353,0.106667,0.190476,1.2380950000000002
2000-01-01,Santa Barbara,0.031059,0.292857,0.190476,8.809524
2000-01-01,Santa Barbara,0.039471,0.033333,1.0,0.130435
2000-01-01,Santa Cruz,0.026588,0.273684,2.590909,5.272727
2000-01-01,Solano,0.0168819999999999,0.327778,1.045455,12.26087
2000-01-01,Ventura,0.023647,0.283333,3.521739,7.565217
2000-01-01,Adams,0.017059,0.684211,4.434783,27.434783000000003
2000-01-01,District of Columbia,0.005176,2.005263,11.25,26.541667
2000-01-01,Orange,0.029471,0.984211,0.166667,14.75
2000-01-01,Linn,0.046294,0.9,1.375,4.9583330000000005
2000-01-01,Wyandotte,0.034647,0.8947370000000001,4.5833330000000005,20.5
2000-01-01,East Baton Rouge,0.024692,0.821053,7.75,31.083333000000003
2000-01-01,Camden,0.003824,1.0,15.583332999999998,24.25
2000-01-01,Queens,0.001941,0.652632,16.541667,28.041667
2000-01-01,Suffolk,0.007941,0.7,11.208333,21.0
2000-01-01,Philadelphia,0.001529,0.936842,11.541667,25.333333
2000-01-01,Dallas,0.026353,0.573684,3.0,28.0
2000-01-01,Harris,0.019647,1.426316,10.782609,28.363636
2000-01-01,Fairfax,0.013471,0.636842,5.875,9.5
2000-01-01,Fairfax,0.003882,1.247368,11.666667,31.0
2000-01-01,Fairfax,0.004529,2.357895,12.958333,27.041667
2001-01-01,Maricopa,0.007824,1.536842,3.583333,36.25
2001-01-01,Maricopa,0.008824,0.978947,1.666667,26.291667
2001-01-01,Pima,0.015412,0.557895,1.875,22.75
2001-01-01,Contra Costa,0.009059,1.605556,2.045455,26.086957
2001-01-01,Contra Costa,0.008176,1.05,1.681818,16.0
2001-01-01,Contra Costa,0.014118,0.616667,3.227273,19.869565
2001-01-01,Contra Costa,0.009353,1.244444,1.772727,24.391304
2001-01-01,Kern,0.019471,1.5,1.869565,36.521739
2001-01-01,Los Angeles,0.016059,2.65,0.130435,57.043478
2001-01-01,Los Angeles,0.008,2.0333330000000003,2.652174,64.782609
2001-01-01,Los Angeles,0.005118,2.016667,1.0,62.565217
2001-01-01,Los Angeles,0.007294,1.966667,4.0,58.434783
2001-01-01,Orange,0.007941,1.833333,1.521739,50.652174
2001-01-01,Riverside,0.015294,1.1,0.0,21.521739
2001-01-01,Sacramento,0.008059,0.570588,1.5,27.454545
2001-01-01,Sacramento,0.005824,2.0,4.363636,27.727273
2001-01-01,San Bernardino,0.010353,0.847368,3.727273,24.045455
2001-01-01,San Diego,0.013294,1.7166669999999995,3.173913,34.304348
2001-01-01,San Diego,0.005412,2.05,5.173913,52.695652
2001-01-01,San Diego,0.015,1.45,5.0,32.347826
2001-01-01,San Francisco,0.0069999999999999,1.255556,4.136364,34.434783
2001-01-01,Santa Barbara,0.038176,0.3,0.8260870000000001,11.913043
