year,Laramie,King,Rutland,Salt Lake,Harris,El Paso,Dallas,Providence,Philadelphia,Allegheny,Multnomah,Tulsa,Cuyahoga,Wake,Mecklenburg,Queens,Bronx,Bernalillo,Camden,Rockingham,Washoe,Clark,Anoka,Kent,Suffolk,Prince George's,Baltimore,Aroostook,Jefferson,Wyandotte,Ada,Honolulu,DeKalb,Orange,District of Columbia,Denver,Adams,Solano,Santa Clara,Santa Barbara,San Bernardino,Riverside,Los Angeles,Imperial,Fresno,Contra Costa,Alameda,Pima,Maricopa,Blount,Hamilton,Burleigh,Essex,St. Louis City,New Castle,San Diego,Humboldt,Pulaski,Henrico,Minnehaha,Cambria,Oklahoma,Garrett,Cumberland,East Baton Rouge,Marion,New Haven,Hinds,Sacramento,Uintah,Fairbanks North Star ,York,Scott,Polk,Saint Clair,McLennan,Hartford,Erie,Cass,Cook,Litchfield,Fremont,Washington,Bucks,Berks,Jackson,Travis,Union,Adair,Sweetwater,Steuben,Bexar,Charleston,Hillsborough,Fairfax,Santa Cruz,Uinta,San Francisco,Milwaukee,Linn,Ventura,Sumner,Ottawa,Kern
2000,0.0,0.0,0.0,0.0,1.426316,0.0,0.573684,0.0,0.936842,0.0,0.0,0.0,0.0,0.0,0.0,0.652632,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.8947370000000001,0.0,0.0,0.0,0.984211,2.005263,0.0,0.684211,0.327778,0.0,0.033333,0.0,0.255556,1.522222,0.494444,0.0,0.988889,0.0,0.321053,0.621053,0.0,0.0,0.0,0.0,0.0,0.0,0.744444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821053,0.0,0.0,0.0,0.633333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.357895,0.273684,0.0,0.455556,0.0,0.9,0.283333,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.1,1.4578950000000002,0.152632,0.0,0.705263,0.0,0.0,0.0,0.0,0.0,0.0,0.431579,0.531579,0.0,0.521053,0.0,0.0,0.0,0.0,0.0,0.347368,0.0,0.0,0.0,0.0,0.8263159999999999,0.0,0.0,0.0,0.557895,1.263158,0.0,0.757895,0.8611110000000001,0.0,0.361111,0.847368,1.1,1.966667,0.0,0.0,1.244444,0.0,0.557895,0.978947,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294737,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573684,0.484211,0.0,1.255556,0.0,0.126316,0.483333,0.0,0.005263,1.5
2002,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.405556,0.0,0.0,0.0,0.0,0.0,0.0,0.531579,0.484211,0.0,0.331579,0.0,0.0,0.131579,0.0,0.0,0.063158,0.0,0.0,0.0,0.0,0.394737,0.0,0.0,0.0,0.5,1.031579,0.0,0.310526,0.622222,0.0,0.25,0.6,1.327778,0.5222220000000001,1.555556,0.0,0.372222,0.394737,0.173684,0.8947370000000001,0.0,0.0,0.0,0.621053,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.472222,0.0,0.0,0.0,0.0,0.0,0.526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378947,0.347368,0.0,0.666667,0.0,0.105263,0.1,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.573684,0.242105,0.736842,0.0,0.922222,0.0,0.0,0.0,0.0,0.0,0.0,0.8052630000000001,0.942105,0.0,1.005263,0.0,0.0,0.0,0.0,0.0,0.326316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.552632,1.463158,0.0,0.1,0.6888890000000001,0.0,0.147059,0.0,0.638889,1.7333330000000002,0.533333,0.327778,0.494444,1.111111,0.5473680000000001,1.2,0.0,0.0,0.0,1.163158,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768421,0.0,0.0,0.0,0.866667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357895,0.0,0.833333,0.0,0.147368,0.2,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.1,0.263158,0.4,0.0,0.8947370000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136842,0.0,0.0,0.0,0.0,1.089474,0.0,0.0,0.0,0.657895,1.136842,0.0,0.526316,0.266667,0.0,0.277778,0.552632,1.255556,1.655556,2.483333,0.0,0.327778,0.0,0.273684,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.933333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.563158,0.0,0.0,0.0,0.261111,0.0,0.0,0.0,0.0,0.0,0.463158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689474,0.342105,0.0,0.472222,0.0,0.1,0.2,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.652632,0.326316,0.0,0.505263,0.0,0.0,0.0,0.0,0.0,0.0,0.489474,0.663158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063158,0.0,0.0,0.0,0.0,0.521053,0.0,0.0,0.0,0.994737,1.0157889999999998,0.0,0.715789,0.5,0.0,0.0,0.068421,0.761111,0.622222,0.405556,0.0,0.311111,0.0,0.447368,1.126316,0.0,0.0,0.0,0.0,0.0,0.0,0.916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068421,0.0,0.0,0.0,0.233333,0.0,0.0,0.0,0.0,0.0,0.415789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294737,0.3,0.0,0.122222,0.3,1.347368,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.031579,0.157895,0.310526,0.0,0.8315790000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.647368,0.6947369999999999,0.0,0.8578950000000001,0.0,0.0,0.0,0.0,0.0,0.126316,0.0,0.0,0.2,0.8,0.7,0.0,0.0,0.0,0.994737,0.821053,0.631579,0.0,0.422222,0.0,0.0,0.236842,0.227778,0.166667,1.238889,0.0,0.622222,0.0,0.563158,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.8111109999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205263,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715789,0.457895,0.0,0.422222,0.3,0.242105,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.2,0.1,0.263158,0.0,0.294444,0.0,0.0,0.378947,0.0,0.0,0.152632,0.521053,0.684211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384211,0.2,0.0,0.2,0.0,0.084211,0.0,0.0,0.0,0.389474,0.984211,1.147368,1.089474,0.977778,0.0,0.0,0.236842,0.777778,0.6,0.333333,0.0,0.427778,0.0,0.426316,1.7631580000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.566667,0.0,0.916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438889,0.0,0.0,0.0,0.0,0.0,0.294737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068421,0.2,0.7,0.363158,0.026316,0.738889,0.3,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.2,0.105263,0.463158,0.0,0.138889,0.0,0.126316,0.2,0.0,0.0,0.263158,0.510526,0.642105,0.0,0.336842,0.0,0.0,0.0,0.0,0.0,0.210526,0.0,0.173684,0.261111,0.0,0.626316,0.0,0.0,0.0,0.557895,0.984211,0.426316,0.478947,0.227778,0.0,0.0,0.189474,0.455556,0.283333,0.5222220000000001,0.766667,0.4,0.327778,0.431579,0.447368,0.0,0.0,0.0,0.0,0.0,0.0,0.433333,1.033333,0.815789,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.638889,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.136842,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178947,0.105263,0.236842,0.0,0.263158,0.111111,0.505556,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.2,0.2894739999999999,0.252632,0.0,0.268421,0.0,0.147368,0.0,0.0,0.0,0.157895,0.310526,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105263,0.0,0.268421,0.1,0.0,0.478947,0.0,0.0,0.0,0.0,2.426316,0.0,0.152632,0.3,0.0,0.2,0.616667,0.977778,0.894444,2.444444,0.261111,0.1333329999999999,0.1611109999999999,0.352632,1.147368,0.157895,0.0,0.0,0.0,0.0,0.0,1.577778,0.157895,0.515789,0.0,0.0,0.0,0.0,0.0,0.284211,0.236842,0.0,0.2,0.0,0.327778,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.268421,0.1,0.0,0.163158,0.368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
