year,Laramie,King,Rutland,Salt Lake,Harris,El Paso,Dallas,Providence,Philadelphia,Allegheny,Multnomah,Tulsa,Cuyahoga,Wake,Mecklenburg,Queens,Bronx,Bernalillo,Camden,Rockingham,Washoe,Clark,Anoka,Kent,Suffolk,Prince George's,Baltimore,Aroostook,Jefferson,Wyandotte,Ada,Honolulu,DeKalb,Orange,District of Columbia,Denver,Adams,Solano,Santa Clara,Santa Barbara,San Bernardino,Riverside,Los Angeles,Imperial,Fresno,Contra Costa,Alameda,Pima,Maricopa,Blount,Hamilton,Burleigh,Essex,St. Louis City,New Castle,San Diego,Humboldt,Pulaski,Henrico,Minnehaha,Cambria,Oklahoma,Garrett,Cumberland,East Baton Rouge,Marion,New Haven,Hinds,Sacramento,Uintah,Fairbanks North Star ,York,Scott,Polk,Saint Clair,McLennan,Hartford,Erie,Cass,Cook,Litchfield,Fremont,Washington,Bucks,Berks,Jackson,Travis,Union,Adair,Sweetwater,Steuben,Bexar,Charleston,Hillsborough,Fairfax,Santa Cruz,Uinta,San Francisco,Milwaukee,Linn,Ventura,Sumner,Ottawa,Kern
2000,0.0,0.0,0.0,0.0,28.363636,0.0,28.0,0.0,25.333333,0.0,0.0,0.0,0.0,0.0,0.0,28.041667,0.0,0.0,24.25,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,14.75,26.541667,0.0,27.434783000000003,12.26087,0.0,0.130435,0.0,11.869565,25.347826,9.304348,0.0,16.217391,0.0,15.208332999999998,47.208333,0.0,0.0,0.0,0.0,0.0,0.0,14.913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.083333000000003,0.0,0.0,0.0,16.913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.041667,5.272727,0.0,17.652174,0.0,4.9583330000000005,7.565217,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,1.541667,38.791667,8.291667,0.0,28.666667,0.0,0.0,0.0,0.0,0.0,0.0,21.958333,28.833333000000003,0.0,26.041667,0.0,0.0,0.0,0.0,0.0,23.791667,0.0,0.0,0.0,0.0,16.541667,0.0,0.0,0.0,16.833333,19.958333,0.0,29.130435,23.173913,0.0,4.173913,24.045455,21.521739,58.434783,0.0,0.0,24.391304,0.0,22.75,26.291667,0.0,0.0,0.0,0.0,0.0,0.0,32.347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,27.727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.333333,5.625,0.0,34.434783,0.0,4.166667,18.608696,0.0,10.166667,36.521739
2002,0.0,0.0,0.0,0.0,0.0,3.791667,0.0,0.0,21.652174,0.0,0.0,0.0,0.0,0.0,0.0,22.416667,23.166667,0.0,20.416667,0.0,0.0,6.291667,0.0,0.0,15.125,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,9.916667,19.458333,0.0,9.782609,11.26087,0.0,0.695652,18.727273,17.0,26.69565200000001,20.434783,0.0,10.695652,17.333333,17.208333,21.041667,0.0,0.0,0.0,19.041667,0.0,0.0,15.304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.625,0.0,0.0,0.0,12.217391,0.0,0.0,0.0,0.0,0.0,23.958333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.416667000000002,2.041667,0.0,14.913043,0.0,4.7083330000000005,12.173913,5.25,0.0,0.0
2003,0.0,0.0,0.0,0.0,16.875,7.833333,18.583333,0.0,31.75,0.0,0.0,0.0,0.0,0.0,0.0,25.583333,28.166667,0.0,32.75,0.0,0.0,0.0,0.0,0.0,21.791667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,28.5,0.0,7.347825999999999,11.434783,0.0,0.818182,0.0,8.826087,35.434783,11.478261,13.347826,12.26087,15.869565,24.375,29.541667,0.0,0.0,0.0,33.75,0.0,0.0,18.391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.652174,0.0,0.0,0.0,17.173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.208333,0.0,22.565217,0.0,2.708333,4.826087,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,7.875,11.708333,11.291667,0.0,26.833333000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.291667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.333332999999998,0.0,0.0,0.0,0.0,17.458333,0.0,0.0,0.0,6.25,26.166667,0.0,24.565217,11.5,0.0,5.608696,19.954545,24.086957,36.130435,24.391304,0.0,10.26087,0.0,15.125,19.25,0.0,0.0,0.0,0.0,0.0,0.0,24.608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.75,0.0,0.0,0.0,4.913043,0.0,0.0,0.0,0.0,0.0,15.416667000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.333333,1.416667,0.0,15.217391,0.0,4.0,18.863636,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,10.4,19.875,7.0833330000000005,0.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,21.666667,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.083333,0.0,0.0,0.0,0.0,14.041667000000002,0.0,0.0,0.0,9.333333,25.791667,0.0,17.217391,15.826087,0.0,0.6190479999999999,13.434783,14.043478,15.608695999999998,13.391304000000002,0.0,5.521739,0.0,19.0,18.583333,0.0,0.0,0.0,0.0,0.0,0.0,15.304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.041667,0.0,0.0,0.0,8.260869999999999,0.0,0.0,0.0,0.0,0.0,12.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,1.695652,0.0,9.913043,9.166667,0.916667,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.8,1.15,10.35,0.0,18.416667,0.0,0.0,0.0,0.0,0.0,0.0,21.541667,21.625,0.0,18.833333,0.0,0.0,0.0,0.0,0.0,17.125,0.0,0.0,2.808696,6.095238,24.083333,0.0,0.0,0.0,13.458332999999998,12.541667,25.0,0.0,10.130435,0.0,1.478261,9.086957,12.434783,15.652174,20.173913,0.0,10.913043,0.0,23.541667,29.833333000000003,0.0,0.0,0.0,0.0,0.0,0.0,12.695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.523810000000001,0.0,0.0,0.0,1.956522,0.0,0.0,0.0,0.0,0.0,16.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.458333,1.347826,0.0,8.739130000000001,10.708333,2.916667,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,15.25,6.416667,12.625,0.0,21.0,0.0,0.0,9.416667,0.0,0.0,4.25,21.333333,27.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.826087,11.0,0.0,2.804545,0.0,9.125,0.0,0.0,0.0,3.5,14.791667000000002,48.434783,40.913043,14.043478,0.0,1.347826,17.826087,12.130435,31.173913,7.347825999999999,0.0,10.956522,0.0,18.791667,32.125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,5.2083330000000005,0.0,0.0,0.0,0.0,0.0,0.0,9.416667,0.0,0.0,0.0,8.913043,0.0,0.0,0.0,0.0,0.0,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,2.791667,13.791667000000002,3.25,3.458333,25.304348,8.791667,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,6.541667,3.5,12.125,0.0,22.958333,0.0,3.541667,3.75,0.0,0.0,9.166667,21.291667,27.166667,0.0,13.083333,0.0,0.0,0.0,0.0,0.0,14.166667000000002,0.0,6.5833330000000005,7.495833,0.0,4.291667,0.0,0.0,0.0,6.5833330000000005,14.791667000000002,20.782609,23.130435,7.521739,0.0,1.391304,11.695652,4.565217,15.913043,8.565217,20.565217,15.826087,16.043478,16.5,12.875,0.0,0.0,0.0,0.0,0.0,0.0,4.826087,12.142857,2.041667,0.0,0.0,0.0,0.0,0.0,0.0,14.333332999999998,0.0,0.0,0.0,12.826087,0.0,0.0,0.0,0.0,0.0,6.625,9.166667,0.0,0.0,2.458333,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.916667,4.625,4.916667,0.0,2.5,4.26087,21.913043,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,15.583332999999998,19.254167,11.525,0.0,16.341667,0.0,6.2083330000000005,0.0,0.0,0.0,9.875,14.041667000000002,16.708333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.916667,0.0,11.086957,0.659091,0.0,13.708332999999998,0.0,0.0,0.0,3.75,13.666667000000002,0.0,8.565217,10.652174,0.0,2.130435,28.434783000000003,24.391304,35.956522,29.913043,9.0,12.173913,13.086957,18.26087,24.75,0.6125,0.0,0.0,0.0,0.0,0.0,25.347826,1.333333,14.0,0.0,0.0,0.0,0.0,0.0,5.041667,12.125,0.0,13.75,0.0,6.304348,0.0,0.0,0.0,0.0,0.0,14.75,3.145833,0.0,0.0,0.0,18.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.331818,0.0,0.904167,6.0833330000000005,1.043478,0.0,9.083333,3.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
