year,Laramie,King,Rutland,Salt Lake,Harris,El Paso,Dallas,Providence,Philadelphia,Allegheny,Multnomah,Tulsa,Cuyahoga,Wake,Mecklenburg,Queens,Bronx,Bernalillo,Camden,Rockingham,Washoe,Clark,Anoka,Kent,Suffolk,Prince George's,Baltimore,Aroostook,Jefferson,Wyandotte,Ada,Honolulu,DeKalb,Orange,District of Columbia,Denver,Adams,Solano,Santa Clara,Santa Barbara,San Bernardino,Riverside,Los Angeles,Imperial,Fresno,Contra Costa,Alameda,Pima,Maricopa,Blount,Hamilton,Burleigh,Essex,St. Louis City,New Castle,San Diego,Humboldt,Pulaski,Henrico,Minnehaha,Cambria,Oklahoma,Garrett,Cumberland,East Baton Rouge,Marion,New Haven,Hinds,Sacramento,Uintah,Fairbanks North Star ,York,Scott,Polk,Saint Clair,McLennan,Hartford,Erie,Cass,Cook,Litchfield,Fremont,Washington,Bucks,Berks,Jackson,Travis,Union,Adair,Sweetwater,Steuben,Bexar,Charleston,Hillsborough,Fairfax,Santa Cruz,Uinta,San Francisco,Milwaukee,Linn,Ventura,Sumner,Ottawa,Kern
2000,0.0,0.0,0.0,0.0,0.019647,0.0,0.026353,0.0,0.001529,0.0,0.0,0.0,0.0,0.0,0.0,0.001941,0.0,0.0,0.003824,0.0,0.0,0.0,0.0,0.0,0.007941,0.0,0.0,0.0,0.0,0.034647,0.0,0.0,0.0,0.029471,0.005176,0.0,0.017059,0.0168819999999999,0.0,0.039471,0.0,0.016294,0.021471,0.035647,0.0,0.015824,0.0,0.020824,0.021059,0.0,0.0,0.0,0.0,0.0,0.0,0.027647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024692,0.0,0.0,0.0,0.011176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004529,0.026588,0.0,0.023588,0.0,0.046294,0.023647,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.022529,0.010118,0.028118,0.0,0.013765,0.0,0.0,0.0,0.0,0.0,0.0,0.018176,0.012235,0.0,0.017118,0.0,0.0,0.0,0.0,0.0,0.033706,0.0,0.0,0.0,0.0,0.009176,0.0,0.0,0.0,0.02,0.018706,0.0,0.003647,0.010765,0.0,0.039118,0.010353,0.015294,0.007294,0.0,0.0,0.009353,0.0,0.015412,0.008824,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026882,0.0,0.0,0.0,0.005824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025706,0.029,0.0,0.0069999999999999,0.0,0.023353,0.012588,0.0,0.014824,0.019471
2002,0.0,0.0,0.0,0.0,0.0,0.029353,0.0,0.0,0.008824,0.0,0.0,0.0,0.0,0.0,0.0,0.014235,0.012588,0.0,0.014176,0.0,0.0,0.021882,0.0,0.0,0.025235,0.0,0.0,0.0,0.0,0.018294,0.0,0.0,0.0,0.030176,0.016294,0.0,0.017353,0.006706,0.0,0.025118,0.007765,0.006,0.009529,0.011059,0.0,0.007529,0.007529,0.017765,0.017882,0.0,0.0,0.0,0.020706,0.0,0.0,0.013882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024471,0.0,0.0,0.0,0.019824,0.0,0.0,0.0,0.0,0.0,0.008706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022235,0.020471,0.0,0.012765,0.0,0.025412,0.013765,0.027235,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.025294,0.025294,0.027235,0.0,0.004471,0.0,0.0,0.0,0.0,0.0,0.0,0.012765,0.009647,0.0,0.016765,0.0,0.0,0.038059,0.0,0.0,0.021294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.008294,0.0,0.017294,0.020059,0.0,0.043176,0.0,0.031,0.009118,0.017176,0.013941,0.016706,0.016118,0.016412,0.017118,0.0,0.0,0.0,0.008588,0.0,0.0,0.020471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015824,0.0,0.0,0.0,0.020059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023176,0.0,0.010235,0.0,0.021412,0.028941,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.016765,0.0168819999999999,0.017353,0.0,0.005765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069409999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014706,0.0,0.0,0.0,0.0,0.010471,0.0,0.0,0.0,0.028824,0.008941,0.0,0.010059,0.011154,0.0,0.037471,0.031647,0.012824,0.009588,0.012706,0.0,0.019941,0.0,0.016176,0.015706,0.0,0.0,0.0,0.0,0.0,0.0,0.018412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020471,0.0,0.0,0.0,0.029824,0.0,0.0,0.0,0.0,0.0,0.015882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.025765,0.0,0.015235,0.0,0.021941,0.014941,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.012529,0.012294,0.021471,0.0,0.010294,0.0,0.0,0.0,0.0,0.0,0.0,0.010941,0.007412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017118,0.0,0.0,0.0,0.0,0.010941,0.0,0.0,0.0,0.023941,0.009706,0.0,0.0068239999999999,0.017882,0.0,0.038059,0.020882,0.019294,0.021,0.027941,0.0,0.024,0.0,0.007941,0.011706,0.0,0.0,0.0,0.0,0.0,0.0,0.019353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022294,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.009353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017882,0.027765,0.0,0.023941,0.014176,0.025353,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0168819999999999,0.039882,0.026588,0.0,0.000765,0.0,0.0,0.0,0.0,0.0,0.0,0.000588,0.000294,0.0,0.002706,0.0,0.0,0.0,0.0,0.0,0.009471,0.0,0.0,0.030235,0.012706,0.01,0.0,0.0,0.0,0.017882,0.010765,0.016059,0.0,0.019118,0.0,0.034941,0.026,0.0131759999999999,0.013529,0.009588,0.0,0.018706,0.0,0.020294,0.013706,0.0,0.0,0.0,0.0,0.0,0.0,0.023471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009824,0.0,0.0,0.0,0.032706,0.0,0.0,0.0,0.0,0.0,0.011412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072349999999999,0.036294,0.0,0.027059,0.011471,0.035647,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.013353,0.031588,0.017882,0.0,0.004824,0.0,0.0,0.013647,0.0,0.0,0.024059,0.0,0.008765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004471,0.009059,0.0,0.026176,0.0,0.010353,0.0,0.0,0.0,0.018824,0.009941,0.006235,0.013412,0.0065879999999999,0.0,0.038235,0.021706,0.037235,0.016176,0.023294,0.0,0.011765,0.0,0.014294,0.011059,0.0,0.0,0.0,0.0,0.0,0.0,0.018647,0.0,0.023529,0.0,0.0,0.0,0.0,0.0,0.0,0.018118,0.0,0.0,0.0,0.020588,0.0,0.0,0.0,0.0,0.0,0.012412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024588,0.017706,0.009235,0.019529,0.030529,0.005294,0.018882,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.029824,0.033,0.020353,0.0,0.020059,0.0,0.023941,0.034294,0.0,0.0,0.032647,0.017824,0.011353,0.0,0.020588,0.0,0.0,0.0,0.0,0.0,0.025353,0.0,0.025706,0.024412,0.0,0.016647,0.0,0.0,0.0,0.036824,0.009941,0.009294,0.015941,0.021353,0.0,0.038176,0.017765,0.033588,0.027235,0.026176,0.010235,0.010412,0.009059,0.0344709999999999,0.037176,0.0,0.0,0.0,0.0,0.0,0.0,0.042529,0.009412,0.034647,0.0,0.0,0.0,0.0,0.0,0.0,0.012529,0.0,0.0,0.0,0.008118,0.0,0.0,0.0,0.0,0.0,0.019,0.022941,0.0,0.0,0.018059,0.015471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030471,0.032706,0.038353,0.0,0.030353,0.034118,0.007647,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.020765,0.0265,0.025882,0.0,0.013118,0.0,0.024765,0.0,0.0,0.0,0.025882,0.016824,0.015118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025118,0.0,0.020529,0.031294,0.0,0.014706,0.0,0.0,0.0,0.035706,0.026706,0.0,0.023471,0.0069409999999999,0.0,0.025353,0.010882,0.010471,0.011059,0.014882,0.014471,0.005647,0.003882,0.015882,0.010706,0.038294,0.0,0.0,0.0,0.0,0.0,0.019,0.022765,0.014706,0.0,0.0,0.0,0.0,0.0,0.028176,0.016941,0.0,0.018091,0.0,0.012471,0.0,0.0,0.0,0.0,0.0,0.013647,0.029235,0.0,0.0,0.0,0.006176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028529,0.0,0.031529,0.019941,0.031294,0.0,0.022235,0.010353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
