year,Laramie,King,Rutland,Salt Lake,Harris,El Paso,Dallas,Providence,Philadelphia,Allegheny,Multnomah,Tulsa,Cuyahoga,Wake,Mecklenburg,Queens,Bronx,Bernalillo,Camden,Rockingham,Washoe,Clark,Anoka,Kent,Suffolk,Prince George's,Baltimore,Aroostook,Jefferson,Wyandotte,Ada,Honolulu,DeKalb,Orange,District of Columbia,Denver,Adams,Solano,Santa Clara,Santa Barbara,San Bernardino,Riverside,Los Angeles,Imperial,Fresno,Contra Costa,Alameda,Pima,Maricopa,Blount,Hamilton,Burleigh,Essex,St. Louis City,New Castle,San Diego,Humboldt,Pulaski,Henrico,Minnehaha,Cambria,Oklahoma,Garrett,Cumberland,East Baton Rouge,Marion,New Haven,Hinds,Sacramento,Uintah,Fairbanks North Star ,York,Scott,Polk,Saint Clair,McLennan,Hartford,Erie,Cass,Cook,Litchfield,Fremont,Washington,Bucks,Berks,Jackson,Travis,Union,Adair,Sweetwater,Steuben,Bexar,Charleston,Hillsborough,Fairfax,Santa Cruz,Uinta,San Francisco,Milwaukee,Linn,Ventura,Sumner,Ottawa,Kern
2000,0.0,0.0,0.0,0.0,10.782609,0.0,3.0,0.0,11.541667,0.0,0.0,0.0,0.0,0.0,0.0,16.541667,0.0,0.0,15.583332999999998,0.0,0.0,0.0,0.0,0.0,11.208333,0.0,0.0,0.0,0.0,4.5833330000000005,0.0,0.0,0.0,0.166667,11.25,0.0,4.434783,1.045455,0.0,1.0,0.0,2.26087,0.956522,0.391304,0.0,2.272727,0.0,1.833333,1.75,0.0,0.0,0.0,0.0,0.0,0.0,2.521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,4.363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.958333,2.590909,0.0,2.363636,0.0,1.375,3.521739,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,1.416667,3.125,0.166667,0.0,5.791667,0.0,0.0,0.0,0.0,0.0,0.0,7.541666999999999,15.666667000000002,0.0,7.125,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,13.333332999999998,0.0,0.130435,1.363636,0.0,0.043478,3.727273,0.0,4.0,0.0,0.0,1.772727,0.0,1.875,1.666667,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.958333,0.0,0.0,0.0,4.363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7083330000000005,2.041667,0.0,4.136364,0.0,0.333333,0.7391300000000001,0.0,0.5,1.869565
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.130434999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.041667,13.125,0.0,9.875,0.0,0.0,0.0,0.0,0.0,11.916667,0.0,0.0,0.0,0.0,5.041667,0.0,0.0,0.0,2.125,7.458333,0.0,0.0,1.045455,0.0,0.0,1.136364,0.0,4.73913,0.430435,0.0,1.0,1.583333,0.625,1.708333,0.0,0.0,0.0,2.75,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73913,0.0,0.0,0.0,3.130435,0.0,0.0,0.0,0.0,0.0,2.791667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.541667,1.958333,0.0,1.909091,0.0,0.333333,2.782609,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,9.833333,0.0,1.333333,0.0,6.4583330000000005,0.0,0.0,0.0,0.0,0.0,0.0,10.375,13.375,0.0,10.916667,0.0,0.0,0.0,0.0,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,4.5,0.0,0.043478,1.227273,0.0,0.136364,0.0,0.0,0.0,0.091304,0.608696,1.545455,2.0,1.25,1.916667,0.0,0.0,0.0,5.0,0.0,0.0,4.173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333,0.0,0.0,0.0,1.086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.083333,0.0,2.681818,0.0,0.166667,0.565217,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,6.125,0.125,0.375,0.0,8.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.708332999999998,0.0,0.0,0.0,0.0,2.291667,0.0,0.0,0.0,2.083333,10.208333,0.0,2.521739,1.0,0.0,1.2608700000000002,1.227273,1.7391299999999998,1.2608700000000002,0.313043,0.0,1.136364,0.0,0.833333,0.625,0.0,0.0,0.0,0.0,0.0,0.0,8.652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,0.0,0.0,0.0,0.956522,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.041667,1.041667,0.0,0.772727,0.0,1.208333,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,4.25,1.086957,0.0,0.0,7.166667,0.0,0.0,0.0,0.0,0.0,0.0,8.458333,15.666667000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.791667,0.0,0.0,0.0,0.0,6.625,0.0,0.0,0.0,0.0,3.458333,0.0,0.130435,2.136364,0.0,0.047619,2.0,1.391304,3.173913,0.134783,0.0,0.217391,0.0,1.166667,0.708333,0.0,0.0,0.0,0.0,0.0,0.0,4.130434999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.130435,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.375,1.0,0.0,0.0,2.0,0.958333,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,12.166667,0.083333,0.875,0.0,5.8333330000000005,0.0,0.0,0.0,0.0,0.0,0.0,16.166667,19.416667,0.0,4.5,0.0,0.0,0.0,0.0,0.0,9.375,0.0,0.0,2.943478,0.166667,8.583333,0.0,0.0,0.0,1.25,5.0833330000000005,2.391304,0.0,1.090909,0.0,0.217391,0.0,0.304348,2.4347830000000004,0.195652,0.0,1.272727,0.0,1.208333,3.791667,0.0,0.0,0.0,0.0,0.0,0.0,1.869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.958333,0.0,0.0,0.0,1.086957,0.0,0.0,0.0,0.0,0.0,1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.875,1.043478,0.0,0.954545,3.333333,0.75,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,3.416667,0.0,0.0,0.0,2.347826,0.0,0.0,0.404167,0.0,0.0,0.295833,3.25,6.5833330000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.826087,0.5625,0.0,1.422727,0.0,5.791667,0.0,0.0,0.0,0.041667,2.541667,4.826087,1.391304,1.545455,0.0,0.782609,0.608696,1.565217,4.565217,0.130435,0.0,2.636364,0.0,1.208333,1.833333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.708333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.041667,2.208333,2.0,2.433333,2.863636,2.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,4.541667,0.0,1.125,0.179167,0.0,0.0,1.0875,6.929167,12.904167,0.0,2.375,0.0,0.0,0.0,0.0,0.0,11.916667,0.0,3.0,1.7625,0.0,4.3333330000000005,0.0,0.0,0.0,0.0,2.541667,2.695652,0.304348,0.434783,0.0,0.26087,0.478261,0.0,3.26087,0.0,0.608696,1.318182,1.130435,0.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.652174,0.0,0.0,0.0,0.0,0.0,0.0,4.908696,0.0,0.0,0.0,0.391304,0.0,0.0,0.0,0.0,0.0,0.583333,0.0,0.0,0.0,0.233333,0.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,0.117391,1.545455,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,4.3333330000000005,0.470833,0.154167,0.0,2.807692,0.0,0.904167,0.0,0.0,0.0,0.541667,4.2,8.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0833330000000005,0.0,0.347826,0.872727,0.0,4.0833330000000005,0.0,0.0,0.0,0.041667,8.041667,0.0,0.565217,1.045455,0.0,1.043478,1.2608700000000002,1.043478,1.695652,5.26087,1.0,1.7391299999999998,0.130435,1.347826,4.0833330000000005,0.491667,0.0,0.0,0.0,0.0,0.0,3.217391,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.166667,2.825,0.0,3.675,0.0,0.043478,0.0,0.0,0.0,0.0,0.0,2.041667,0.025,0.0,0.0,0.0,0.470833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6681819999999999,0.0,0.683333,0.583333,1.125,0.0,3.958333,1.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
